schema_version,analysis_id,source_experiment,target_experiment,direction,population,source_step8a_sha256,target_step8a_sha256,block_size_cells,block_nominal_scale,n_outer_folds,estimator_random_state,model_family,model_role,metric,metric_orientation,budget_blocks,n_repeats,raw_value,fewshot_value,ceiling_value,raw_oriented,fewshot_oriented,ceiling_oriented,absolute_recovery,ceiling_gap,recovery_fraction,recovery_fraction_status,denominator_near_zero,ceiling_not_above_raw,recovery_negative,recovery_above_ceiling,selection_median,selection_interval_lower,selection_interval_upper,selection_min,selection_max,n_repeats_observed,recovery_fraction_selection_median,recovery_fraction_selection_lower,recovery_fraction_selection_upper,mean_adaptation_row_count,mean_adaptation_positive_count,mean_n_blocks_tier_a,mean_n_blocks_tier_b,mean_n_blocks_tier_c
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,pr_auc,higher_is_better,4,10,0.0331904377822515,0.0348982631387425,0.0843461463684208,0.0331904377822515,0.0348982631387425,0.0843461463684208,0.0017078253564909995,0.0511557085861693,0.033384844110100655,interpretable,false,false,false,false,0.0348982631387425,0.03253078608939433,0.03907192953676071,0.032209728272772,0.0398134209047178,10,0.033384844110100585,-0.01289497714113406,0.11497234457425459,391.7,82.2,4.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,pr_auc,higher_is_better,8,10,0.0331904377822515,0.03801300615581965,0.0843461463684208,0.0331904377822515,0.03801300615581965,0.0843461463684208,0.004822568373568148,0.0511557085861693,0.09427234040644293,interpretable,false,false,false,false,0.03801300615581965,0.03478391794391191,0.042928223418860184,0.0343026969778787,0.0430191510269223,10,0.09427234040644294,0.031149605893470753,0.19035579617093673,783.4,171.2,8.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,pr_auc,higher_is_better,16,10,0.0331904377822515,0.04204905592440965,0.0843461463684208,0.0331904377822515,0.04204905592440965,0.0843461463684208,0.008858618142158145,0.0511557085861693,0.17316968891626697,interpretable,false,false,false,false,0.04204905592440965,0.039494916370775686,0.044742602283609864,0.0393924698507525,0.0449570153509292,10,0.17316968891626697,0.12324095907897735,0.2258235653582885,1559.9,384.1,15.0,0.0,1.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,pr_auc,higher_is_better,32,10,0.0331904377822515,0.046622991840328545,0.0843461463684208,0.0331904377822515,0.046622991840328545,0.0843461463684208,0.013432554058077043,0.0511557085861693,0.2625817221444711,interpretable,false,false,false,false,0.046622991840328545,0.045068419087250455,0.04848965951285576,0.0450084079105667,0.0486898364239436,10,0.2625817221444712,0.23219268451713598,0.2990716413366353,3012.1,627.0,21.0,2.0,10.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,roc_auc,higher_is_better,0,1,0.420907601774425,0.420907601774425,0.7475502988238435,0.420907601774425,0.420907601774425,0.7475502988238435,0.0,0.3266426970494185,0.0,interpretable,false,false,false,false,0.420907601774425,0.420907601774425,0.420907601774425,0.420907601774425,0.420907601774425,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,roc_auc,higher_is_better,1,10,0.420907601774425,0.41467671147386315,0.7475502988238435,0.420907601774425,0.41467671147386315,0.7475502988238435,-0.006230890300561842,0.3266426970494185,-0.01907555367637427,interpretable,false,false,true,false,0.41467671147386315,0.39215823251412385,0.4239036185772529,0.3918358036173358,0.4240291975258192,10,-0.01907555367637427,-0.08801473144814122,0.009172153028036764,97.4,15.5,1.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,roc_auc,higher_is_better,2,10,0.420907601774425,0.4044785298922124,0.7475502988238435,0.420907601774425,0.4044785298922124,0.7475502988238435,-0.016429071882212598,0.3266426970494185,-0.05029676778515886,interpretable,false,false,true,false,0.4044785298922124,0.3825034052184771,0.461599144651017,0.3801150047640083,0.4689072808116504,10,-0.05029676778515886,-0.11757249405192621,0.12457508845034933,195.5,34.3,2.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,roc_auc,higher_is_better,4,10,0.420907601774425,0.4203268751105653,0.7475502988238435,0.420907601774425,0.4203268751105653,0.7475502988238435,-0.0005807266638596653,0.3266426970494185,-0.0017778651385914985,interpretable,false,false,true,false,0.4203268751105653,0.3816163972083738,0.48513628681373194,0.381303097226116,0.4932205989305034,10,-0.0017778651385914144,-0.12028802395085142,0.19663285179643752,391.7,82.2,4.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,roc_auc,higher_is_better,8,10,0.420907601774425,0.46225136053559657,0.7475502988238435,0.420907601774425,0.46225136053559657,0.7475502988238435,0.04134375876117158,0.3266426970494185,0.12657181420136446,interpretable,false,false,false,false,0.46225136053559657,0.4169468231797712,0.4876946580388631,0.4150276271100522,0.4895583968620651,10,0.12657181420136437,-0.012125722174203504,0.2044651751523278,783.4,171.2,8.0,0.0,0.0
few_shot_recovery.v1,7e4ca051c3e83074391652e28a163138129c1cb6610f8826248a90cd3d19409a,bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,burnable_tree_shrub_grass,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,10,approximately_5_km,5,42,baseline,secondary,roc_auc,higher_is_better,16,10,0.420907601774425,0.5095551891740626,0.7475502988238435,0.420907601774425,0.5095551891740626,0.7475502988238435,0.08864758739963763,0.3266426970494185,0.27139007913048774,interpretable,false,false,false,false,0.5095551891740626,0.48906800078727686,0.5162577230859394,0.4877115677466809,0.517265133356024,10,0.27139007913048796,0.20866959411169614,0.2919095457293774,1559.9,384.1,15.0,0.0,1.0
